ISSUE_DATE;FLIGHT_DATE_LOC;PAX_TYPE;REVENUE_AMOUNT;ORIG_CITY_CODE;DEST_CITY_CODE;ROUTE_FLIGHT_TYPE;FFP_FLAG;SALE_TYPE
12.12.2021 0:00;11.01.2022 0:00;AD;260;ROV;MOW;ВВЛ;FFP;ONLINE
06.12.2021 0:00;15.01.2022 0:00;AD;1030;BKK;KHV;МВЛ;FFP;OFFLINE
15.12.2021 0:00;12.01.2022 0:00;AD;370;MMK;MOW;ВВЛ;;OFFLINE
12.12.2021 0:00;06.01.2022 0:00;CHD;180;MOW;AER;ВВЛ;;ONLINE
29.11.2021 0:00;08.01.2022 0:00;AD;220;MOW;LED;ВВЛ;FFP;ONLINE
11.12.2021 0:00;11.01.2022 0:00;AD;220;SIP;MOW;ВВЛ;;OFFLINE
24.11.2021 0:00;03.01.2022 0:00;INF;40;KIV;MOW;МВЛ;;OFFLINE
28.11.2021 0:00;16.01.2022 0:00;AD;320;AER;MOW;ВВЛ;FFP;ONLINE
10.12.2021 0:00;09.01.2022 0:00;AD;330;KZN;MOW;ВВЛ;FFP;ONLINE
26.01.2022 0:00;29.01.2022 0:00;AD;310;MOW;OGZ;ВВЛ;;OFFLINE
26.11.2021 0:00;16.01.2022 0:00;AD;370;PAR;MOW;МВЛ;FFP;ONLINE
04.12.2021 0:00;03.01.2022 0:00;CHD;430;MOW;KIV;МВЛ;;ONLINE
11.12.2021 0:00;04.01.2022 0:00;AD;360;BTK;MOW;ВВЛ;FFP;ONLINE
12.12.2021 0:00;24.01.2022 0:00;AD;190;OVB;ABA;ВВЛ;FFP;ONLINE
06.12.2021 0:00;14.01.2022 0:00;AD;490;MOW;BQS;ВВЛ;FFP;ONLINE
09.12.2021 0:00;05.01.2022 0:00;AD;530;MOW;NOZ;ВВЛ;;OFFLINE
06.12.2021 0:00;02.01.2022 0:00;CHD;370;KUF;OVB;ВВЛ;;ONLINE
17.12.2021 0:00;11.01.2022 0:00;AD;260;KGD;MOW;ВВЛ;;ONLINE
12.12.2021 0:00;04.01.2022 0:00;AD;300;KVK;MOW;ВВЛ;;ONLINE
01.12.2021 0:00;27.01.2022 0:00;AD;260;AER;MOW;ВВЛ;FFP;ONLINE
01.12.2021 0:00;09.01.2022 0:00;CHD;270;MOW;CEK;ВВЛ;;ONLINE
24.12.2021 0:00;17.01.2022 0:00;AD;320;ROV;MOW;ВВЛ;;OFFLINE
07.12.2021 0:00;13.01.2022 0:00;CHD;820;OVB;HKT;МВЛ;FFP;OFFLINE
06.12.2021 0:00;22.01.2022 0:00;AD;260;AER;MOW;ВВЛ;;ONLINE
06.12.2021 0:00;07.01.2022 0:00;CHD;400;SIP;MOW;ВВЛ;;OFFLINE
29.11.2021 0:00;31.01.2022 0:00;AD;390;OVB;IKT;ВВЛ;;ONLINE
13.01.2022 0:00;17.01.2022 0:00;AD;340;OVB;IJK;ВВЛ;;OFFLINE
13.12.2021 0:00;09.01.2022 0:00;AD;290;MOW;RTW;ВВЛ;FFP;ONLINE
11.12.2021 0:00;10.01.2022 0:00;AD;270;MOW;KUF;ВВЛ;FFP;ONLINE
12.12.2021 0:00;04.01.2022 0:00;AD;230;KUF;MOW;ВВЛ;;OFFLINE
12.12.2021 0:00;10.01.2022 0:00;AD;250;MOW;AER;ВВЛ;FFP;ONLINE
02.12.2021 0:00;06.01.2022 0:00;AD;360;BTK;OVB;ВВЛ;;ONLINE
06.12.2021 0:00;04.01.2022 0:00;AD;180;MOW;LED;ВВЛ;;OFFLINE
12.12.2021 0:00;10.01.2022 0:00;CHD;220;KUF;MOW;ВВЛ;FFP;ONLINE
06.12.2021 0:00;15.01.2022 0:00;AD;250;MMK;MOW;ВВЛ;;OFFLINE
29.11.2021 0:00;01.01.2022 0:00;AD;420;OMS;MOW;ВВЛ;FFP;ONLINE
12.12.2021 0:00;05.01.2022 0:00;CHD;270;PEE;MOW;ВВЛ;;ONLINE
02.12.2021 0:00;12.01.2022 0:00;AD;320;KUF;BAK;МВЛ;;ONLINE
